candidate_id,name,course,batch,enrolment_date,attendance_pct,completed,placement_status,employer
62,Nithya Sharma,Tailoring & Garment Making,2025-A,2025-07-16,80.1,1,Unknown,
63,Deepa Nair,Electrical Wiring Basics,2026-B,2025-02-01,48.4,0,Not Placed,
64,Sanjay Kumar,Electrical Wiring Basics,2026-B,2025-01-04,96.3,1,Placed,Glow Beauty Salon
65,Deepa Pillai,Electrical Wiring Basics,2025-B,2025-04-23,52.7,0,Not Placed,
66,Manoj Nair,Beautician & Wellness,2025-B,2025-03-07,98.7,1,Placed,Glow Beauty Salon
67,Sanjay Menon,Basic Computer Literacy,2025-C,2025-08-08,43.8,0,Not Placed,
68,Anjali Prasad,Beautician & Wellness,2026-A,2025-08-21,56.2,0,Not Placed,
69,Manoj Prasad,Beautician & Wellness,2026-A,2025-08-29,36.3,0,Not Placed,
70,Sangeeta Devi,Basic Computer Literacy,2025-A,2025-05-07,48.0,0,Unknown,
71,Meena Devi,Tailoring & Garment Making,2026-C,2025-02-28,71.7,1,Placed,Local Self-Employment
72,Karthik Nair,Tailoring & Garment Making,2025-A,2025-06-09,42.0,0,Unknown,
73,Lakshmi Menon,Beautician & Wellness,2026-C,2025-04-12,39.9,0,Not Placed,
74,Divya Sharma,Mobile Phone Repair,2025-C,2025-01-22,57.6,0,Not Placed,
75,Sangeeta Sharma,Electrical Wiring Basics,2026-A,2025-08-04,88.5,1,Placed,QuickFix Mobile Services
76,Rajesh Raj,Beautician & Wellness,2025-C,2025-09-25,97.8,1,Placed,PowerTech Electricals
77,Pooja Iyer,Beautician & Wellness,2026-B,2025-05-06,89.0,1,Placed,Glow Beauty Salon
78,Divya Iyer,Electrical Wiring Basics,2026-B,2025-01-15,67.1,1,Placed,Glow Beauty Salon
79,Arun Nair,Mobile Phone Repair,2026-B,2025-05-22,71.1,1,Placed,Sunrise Garments Pvt Ltd
80,Ravi Devi,Beautician & Wellness,2026-C,2025-05-04,79.9,1,Not Placed,
81,Priya Sharma,Mobile Phone Repair,2025-B,2025-05-05,54.9,0,Not Placed,
82,Pooja Pillai,Electrical Wiring Basics,2026-B,2025-10-09,56.5,0,Not Placed,
83,Karthik Prasad,Mobile Phone Repair,2025-A,2025-04-09,55.5,0,Not Placed,
84,Kavya Devi,Tailoring & Garment Making,2026-B,2025-09-26,73.8,1,Not Placed,
85,Lakshmi Devi,Mobile Phone Repair,2025-B,2025-01-08,81.0,1,Placed,ABC Electronics
86,Anjali Pillai,Mobile Phone Repair,2025-C,2025-09-09,41.7,0,Unknown,
87,Lakshmi Iyer,Beautician & Wellness,2026-B,2025-04-05,97.8,1,Placed,Glow Beauty Salon
88,Suresh Sharma,Beautician & Wellness,2026-A,2025-10-23,75.9,1,Placed,Sunrise Garments Pvt Ltd
89,Sanjay Prasad,Basic Computer Literacy,2025-A,2025-10-13,84.7,1,Not Placed,
90,Divya Pillai,Beautician & Wellness,2026-B,2025-06-02,90.9,1,Not Placed,
91,Bhavani Kumar,Electrical Wiring Basics,2025-A,2025-04-19,52.2,0,Unknown,
92,Divya Raj,Electrical Wiring Basics,2025-A,2025-01-02,61.6,1,Not Placed,
93,Anjali Devi,Mobile Phone Repair,2026-C,2025-08-21,39.6,0,Unknown,
94,Karthik Menon,Tailoring & Garment Making,2026-A,2025-10-06,49.6,0,Unknown,
95,Karthik Raj,Basic Computer Literacy,2025-A,2025-06-07,73.7,1,Not Placed,
96,Ramesh Babu,Mobile Phone Repair,2026-B,2026-02-10,,,Unknown,
97,Priya Sharma,Beautician & Wellness,2026-A,2026-01-15,82.0,1,Placed,Glow Beauty Salon
98,Priya Sharman,Beautician & Wellness,2026-A,2026-01-16,78.5,1,Not Placed,
99,,,,,,,,
100,Rajesh Sharma,Beautician & Wellness,2026-C,2025-07-26,96.3,1,Placed,Glow Beauty Salon
